JO#	Qty	Sections	Sheets	IncomeDate	RAPDate	P/L Date	Finished
2725041	3350	10	33500	22/2/2017	1/6/2017	7/6/2017	none
2725040	6000	10	60000	22/2/2017	1/6/2017	7/6/2017	none
2722548	11600	3	34800	22/12/2016	1/6/2017	12/6/2017	none
2722546	15000	3	45000	22/12/2016	1/6/2017	12/6/2017	none
2722544	20000	3	60000	22/12/2016	1/6/2017	12/6/2017	none
2725942	4950	23	113850	3/3/2017	1/6/2017	27/5/2017	none
2725607	10250	16	164000	14/2/2017	1/6/2017	6/6/2017	none
2725602	10250	20	205000	13/2/2017	1/6/2017	6/6/2017	none
2725608	14250	16	228000	14/2/2017	1/6/2017	6/6/2017	none
2725601	14250	20	285000	13/2/2017	1/6/2017	3/6/2017	none
