JO#	Qty	Sections	Sheets	Income Date	RAP Date	P/L Date	Finished
2707927	1000	1	1000	6/3/2017	27/10/2017	1/12/2017	none
2707929	1900	32	60800	6/3/2017	27/10/2017	1/12/2017	none
2739124	2300	21	48300	6/3/2017	27/10/2017	1/12/2017	none
2707926	1900	1	1900	6/3/2017	27/10/2017	1/12/2017	none
2739356	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2739353	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2739357	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2739352	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2739354	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2739355	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2739351	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2739350	10250	3	30750	6/3/2017	30/10/2017	1/12/2017	none
2707843	2900	21	60900	6/3/2017	1/11/2017	1/12/2017	none
2707842	1500	1	1500	6/3/2017	1/11/2017	1/12/2017	none
2739164	6900	14	96600	6/3/2017	2/11/2017	1/12/2017	none
2739154	6900	14	96600	6/3/2017	2/11/2017	1/12/2017	none
2739160	6900	14	96600	6/3/2017	2/11/2017	1/12/2017	none
2740933	10750	13	139750	6/3/2017	3/11/2017	1/12/2017	none
2740932	4450	13	57850	6/3/2017	3/11/2017	1/12/2017	none
2740931	5500	1	5500	6/3/2017	3/11/2017	1/12/2017	none
2739847	79200	2	158400	6/3/2017	11/11/2017	1/12/2017	none
2741052	1450	12	17400	6/3/2017	15/11/2017	1/12/2017	none
2741742	1850	1	1850	6/3/2017	18/11/2017	1/12/2017	none
2741743	3350	19	63650	6/3/2017	18/11/2017	1/12/2017	none
2741138	3350	13	43550	6/3/2017	21/11/2017	1/12/2017	none
2739689	24650	1	24650	6/3/2017	24/11/2017	1/12/2017	none
2741134	3350	7	23450	6/3/2017	27/11/2017	1/12/2017	none
2741136	6500	14	91000	6/3/2017	27/11/2017	1/12/2017	none
2741727	6600	1	6600	6/3/2017	30/11/2017	1/12/2017	none
2741731	3350	1	3350	6/3/2017	30/11/2017	1/12/2017	none
2741733	3400	1	3400	6/3/2017	30/11/2017	1/12/2017	none
2741728	1300	1	1300	6/3/2017	30/11/2017	1/12/2017	none
2741729	6500	8	52000	6/3/2017	30/11/2017	1/12/2017	none
2741734	8300	1	8300	6/3/2017	30/11/2017	1/12/2017	none
2741730	16200	8	129600	6/3/2017	30/11/2017	1/12/2017	none
2741732	8300	1	8300	6/3/2017	30/11/2017	1/12/2017	none
